"","x","y","ymin","ymax","se","flipped_aes","PANEL","group","colour","fill","size","linetype","weight","alpha"
"1",1989,0.00628586897088734,-2.01497873271008e-05,0.0125918877291018,0.00278761301907695,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"2",1989.37974683544,0.00688378304059611,0.000691377174921959,0.0130761889062703,0.00273738976562282,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"3",1989.75949367089,0.00748169711030444,0.00140203280782482,0.0135613614127841,0.00268755168847743,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"4",1990.13924050633,0.00807961118001321,0.00211176772900175,0.0140474546310247,0.00263812061741522,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"5",1990.51898734177,0.00867752524972154,0.00282052920396209,0.014534521295481,0.00258911986403038,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"6",1990.89873417722,0.00927543931943031,0.00352826090705878,0.0150226177318018,0.0025405743274099,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"7",1991.27848101266,0.00987335338913864,0.00423490266872413,0.0155118041095532,0.00249251060586788,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"8",1991.6582278481,0.0104712674588474,0.00494039020937038,0.0160021447083244,0.00244495711457799,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"9",1992.03797468354,0.0110691815285557,0.00564465486069352,0.016493708196418,0.00239794420877119,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"10",1992.41772151899,0.0116670955982645,0.00634762327563324,0.0169865679208958,0.0023515043119512,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"11",1992.79746835443,0.0122650096679728,0.00704921712882234,0.0174808022071233,0.00230567204831107,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"12",1993.17721518987,0.0128629237376816,0.00774935281013968,0.0179764946652235,0.00226048437820148,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"13",1993.55696202532,0.0134608378073899,0.00844794111487053,0.0184737344999093,0.00221598073509563,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"14",1993.93670886076,0.0140587518770987,0.00914488693511383,0.0189726168190836,0.00217220316200604,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"15",1994.3164556962,0.0146566659468075,0.00984008895836541,0.0194732429352495,0.0021291964447263,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"16",1994.69620253165,0.0152545800165163,0.010533439380776,0.0199757206522565,0.0020870082385878,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"17",1995.07594936709,0.0158524940862246,0.0112248236443486,0.0204801645281005,0.00204568918463281,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"18",1995.45569620253,0.0164504081559333,0.0119141202093726,0.0209866961024941,0.00200529301021223,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"19",1995.83544303797,0.0170483222256417,0.0126012003756201,0.0214954440756632,0.00196587660802516,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"20",1996.21518987342,0.0176462362953504,0.0132859281682691,0.0220065444224318,0.00192750008654916,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"21",1996.59493670886,0.0182441503650588,0.0139681603070055,0.022520140423112,0.00189022678369703,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"22",1996.9746835443,0.0188420644347675,0.0146477462792892,0.0230363825902458,0.00185412323443084,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"23",1997.35443037975,0.0194399785044759,0.0153245285410447,0.023555428467907,0.00181925908204384,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"24",1997.73417721519,0.0200378925741846,0.0159983428699525,0.0240774422784168,0.00178570692198743,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"25",1998.11392405063,0.020635806643893,0.0166690188976498,0.0246025943901362,0.0017535420666071,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"26",1998.49367088608,0.0212337207136017,0.0173363808472501,0.0251310605799534,0.00172284221911922,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"27",1998.87341772152,0.0218316347833101,0.0180002485011285,0.0256630210654917,0.00169368704579407,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"28",1999.25316455696,0.0224295488530188,0.0186604384205626,0.0261986592854751,0.00166615763680803,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"29",1999.63291139241,0.0230274629227272,0.0193167654330175,0.0267381604124368,0.00164033584877881,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"30",2000.01265822785,0.0236253769924359,0.0199690443943876,0.0272817095904843,0.0016163035257575,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"31",2000.39240506329,0.0242232910621443,0.020617092222051,0.0278294899022375,0.00159414160050336,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"32",2000.77215189873,0.024821205131853,0.0212607301803395,0.0283816800833666,0.00157392908417971,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"33",2001.15189873418,0.0254191192015614,0.0218997863832921,0.0289384520198306,0.00155574195999536,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"34",2001.53164556962,0.0260170332712701,0.0225340984613054,0.0294999680812349,0.00153965200439766,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"35",2001.91139240506,0.0266149473409785,0.0231635163197196,0.0300663783622373,0.00152572556762129,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"36",2002.29113924051,0.0272128614106872,0.0237879049003243,0.0306378179210502,0.00151402235295023,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"37",2002.67088607595,0.0278107754803956,0.0244071468431066,0.0312144041176845,0.00150459424007427,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"38",2003.05063291139,0.0284086895501043,0.0250211449374689,0.0317962341627397,0.00149748420151548,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"39",2003.43037974684,0.0290066036198127,0.0256298242512511,0.0323833829883742,0.00149272536147957,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"40",2003.81012658228,0.0296045176895214,0.0262331338335037,0.0329759015455391,0.00149034024313653,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"41",2004.18987341772,0.0302024317592302,0.0268310479032125,0.0335738156152479,0.00149034024313653,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
