"","x","y","ymin","ymax","se","flipped_aes","PANEL","group","colour","fill","size","linetype","weight","alpha"
"1",1989,0.0492383114950101,-0.00255014564132185,0.101026768631342,0.0228933948480713,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"2",1989.37974683544,0.0517168703446043,0.000861464098391024,0.102572276590817,0.0224809341643208,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"3",1989.75949367089,0.0541954291941984,0.00426591800742778,0.104124940380969,0.0220716367579915,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"4",1990.13924050633,0.0566739880437925,0.00766281053080987,0.105685165556775,0.0216656819070686,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"5",1990.51898734177,0.0591525468933867,0.0110517085842146,0.107253385202559,0.0212632610590473,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"6",1990.89873417722,0.0616311057429808,0.0144321495907743,0.108830061895187,0.0208645786987776,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"7",1991.27848101266,0.0641096645925749,0.0178036394052681,0.110415689779882,0.0204698532660869,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"8",1991.6582278481,0.0665882234421691,0.0211656501287399,0.112010796755598,0.0200793181218422,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"9",1992.03797468354,0.0690667822917632,0.024517617819722,0.113615946763804,0.0196932225597162,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"10",1992.41772151899,0.0715453411413574,0.0278589401122398,0.115231742170475,0.0193118328591631,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"11",1992.79746835443,0.0740238999909515,0.0311889737557685,0.116858826226134,0.0189354333728952,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"12",1993.17721518987,0.0765024588405456,0.034507032098494,0.118497885582597,0.0185643276394222,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"13",1993.55696202532,0.0789810176901398,0.0378123825427698,0.12014965283751,0.0181988395078819,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"14",1993.93670886076,0.0814595765397339,0.0411042440107572,0.121814909068711,0.0178393142583686,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"15",1994.3164556962,0.0839381353893298,0.0443817844690536,0.123494486309606,0.017486119696187,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"16",1994.69620253165,0.086416694238924,0.0476441185737891,0.125189269904059,0.0171396471928478,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"17",1995.07594936709,0.0888952530885181,0.0508903055123675,0.126900200664669,0.0168003126401438,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"18",1995.45569620253,0.0913738119381122,0.054119347134547,0.128628276741677,0.0164685572763136,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"19",1995.83544303797,0.0938523707877064,0.0573301864840398,0.130374555091373,0.0161448483351572,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"20",1996.21518987342,0.0963309296373005,0.0605217068616151,0.132140152412986,0.0158296794601975,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"21",1996.59493670886,0.0988094884868946,0.0636927315713832,0.133926245402406,0.0155235708168363,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"22",1996.9746835443,0.101288047336489,0.0668420245224634,0.135734070150514,0.0152270688263838,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"23",1997.35443037975,0.103766606186083,0.0699682918771951,0.137564920494971,0.0149407454374569,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"24",1997.73417721519,0.106245165035677,0.0730701849525307,0.139420145118823,0.0146651968434015,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"25",1998.11392405063,0.108723723885271,0.0761463045907856,0.141301143179757,0.0144010415501762,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"26",1998.49367088608,0.111202282734865,0.0791952072165199,0.143209358253211,0.0141489176988719,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"27",1998.87341772152,0.113680841584459,0.0822154127845498,0.145146270384369,0.0139094795522465,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"28",1999.25316455696,0.116159400434054,0.0852054147962705,0.147113386071837,0.0136833930669495,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"29",1999.63291139241,0.118637959283648,0.0881636925140804,0.149112226053215,0.0134713304940634,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"30",2000.01265822785,0.121116518133242,0.0910887254338407,0.151144310832643,0.0132739639814671,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"31",2000.39240506329,0.123595076982836,0.0939790099814525,0.15321114398422,0.013091958193015,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"32",2000.77215189873,0.12607363583243,0.0968330782823518,0.155314193382508,0.0129259620113701,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"33",2001.15189873418,0.128552194682024,0.0996495187155117,0.157454870648537,0.0127765994519855,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"34",2001.53164556962,0.131030753531618,0.102426997813395,0.159634509249842,0.0126444599821002,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"35",2001.91139240506,0.133509312381213,0.105164282916999,0.161854341845426,0.0125300885059425,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"36",2002.29113924051,0.135987871230807,0.107860264854806,0.164115477606807,0.012433975339365,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
"37",2002.67088607595,0.138466430080401,0.110513979802543,0.166418880358259,0.0123565465466077,FALSE,"1",-1,"orange","grey60",1,1,1,0.4
