"","x","y","PANEL","group","shape","colour","size","fill","alpha","stroke"
"78",2001,0.00543862511557078,"10",-1,19,"black",1.5,NA,0.2,0.5
"79",2001,0.00725150015409438,"11",-1,19,"black",1.5,NA,0.2,0.5
"80",2001,0.00543862511557078,"12",-1,19,"black",1.5,NA,0.2,0.5
"81",2001,0.0525733761171842,"13",-1,19,"black",1.5,NA,0.2,0.5
"82",2001,0.188539004006454,"14",-1,19,"black",1.5,NA,0.2,0.5
"83",2001,0.0163158753467124,"15",-1,19,"black",1.5,NA,0.2,0.5
"84",2001,0.210293504468737,"16",-1,19,"black",1.5,NA,0.2,0.5
"85",2001,0.00543862511557078,"17",-1,19,"black",1.5,NA,0.2,0.5
"86",2001,0.0489476260401371,"18",-1,19,"black",1.5,NA,0.2,0.5
"87",2004,0.13137727173199,"1",-1,19,"black",1.5,NA,0.2,0.5
"88",2004,0.031280302793331,"2",-1,19,"black",1.5,NA,0.2,0.5
"89",2004,0.0156401513966655,"3",-1,19,"black",1.5,NA,0.2,0.5
"90",2004,0.182989771340987,"4",-1,19,"black",1.5,NA,0.2,0.5
"91",2004,0.189245831899653,"5",-1,19,"black",1.5,NA,0.2,0.5
"92",2004,0.150145453407989,"6",-1,19,"black",1.5,NA,0.2,0.5
"93",2004,0.0469204541899966,"7",-1,19,"black",1.5,NA,0.2,0.5
"94",2004,0.0625606055866621,"8",-1,19,"black",1.5,NA,0.2,0.5
"95",2004,0.250242422346648,"9",-1,19,"black",1.5,NA,0.2,0.5
"96",2004,0.0031280302793331,"10",-1,19,"black",1.5,NA,0.2,0.5
"97",2004,0.00625606055866621,"11",-1,19,"black",1.5,NA,0.2,0.5
"98",2004,0.0031280302793331,"12",-1,19,"black",1.5,NA,0.2,0.5
"99",2004,0.059432575307329,"13",-1,19,"black",1.5,NA,0.2,0.5
"100",2004,0.211142043854985,"14",-1,19,"black",1.5,NA,0.2,0.5
"101",2004,0.0218962119553317,"15",-1,19,"black",1.5,NA,0.2,0.5
"102",2004,0.240858331508649,"16",-1,19,"black",1.5,NA,0.2,0.5
"103",2004,0.0031280302793331,"17",-1,19,"black",1.5,NA,0.2,0.5
"104",2004,0.0688166661453283,"18",-1,19,"black",1.5,NA,0.2,0.5
"105",2007,0.185022433970119,"1",-1,19,"black",1.5,NA,0.2,0.5
"106",2007,0.0169603897805942,"2",-1,19,"black",1.5,NA,0.2,0.5
"107",2007,0.0169603897805942,"3",-1,19,"black",1.5,NA,0.2,0.5
"108",2007,0.154185361641766,"4",-1,19,"black",1.5,NA,0.2,0.5
"109",2007,0.161894629723854,"5",-1,19,"black",1.5,NA,0.2,0.5
"110",2007,0.137224971861171,"6",-1,19,"black",1.5,NA,0.2,0.5
"111",2007,0.0231278042462649,"7",-1,19,"black",1.5,NA,0.2,0.5
"112",2007,0.049339315725365,"8",-1,19,"black",1.5,NA,0.2,0.5
"113",2007,0.266740675640255,"9",-1,19,"black",1.5,NA,0.2,0.5
"114",2007,0.00308370723283532,"10",-1,19,"black",1.5,NA,0.2,0.5
"115",2007,0.00616741446567063,"11",-1,19,"black",1.5,NA,0.2,0.5
"116",2007,0.00154185361641766,"12",-1,19,"black",1.5,NA,0.2,0.5
"117",2007,0.0370044867940238,"13",-1,19,"black",1.5,NA,0.2,0.5
"118",2007,0.19118984843579,"14",-1,19,"black",1.5,NA,0.2,0.5
"119",2007,0.0308370723283531,"15",-1,19,"black",1.5,NA,0.2,0.5
"120",2007,0.158810922491019,"16",-1,19,"black",1.5,NA,0.2,0.5
"121",2007,0.00462556084925297,"17",-1,19,"black",1.5,NA,0.2,0.5
"122",2007,0.0662997055059593,"18",-1,19,"black",1.5,NA,0.2,0.5
"123",2010,0.181406447842603,"1",-1,19,"black",1.5,NA,0.2,0.5
"124",2010,0.0109574364468686,"2",-1,19,"black",1.5,NA,0.2,0.5
"125",2010,0.0170449011395734,"3",-1,19,"black",1.5,NA,0.2,0.5
"126",2010,0.132706730300964,"4",-1,19,"black",1.5,NA,0.2,0.5
"127",2010,0.160709067887406,"5",-1,19,"black",1.5,NA,0.2,0.5
"128",2010,0.161926560825947,"6",-1,19,"black",1.5,NA,0.2,0.5
"129",2010,0.0255673517093601,"7",-1,19,"black",1.5,NA,0.2,0.5
"130",2010,0.0693970974968345,"8",-1,19,"black",1.5,NA,0.2,0.5
"131",2010,0.255673517093601,"9",-1,19,"black",1.5,NA,0.2,0.5
"132",2010,0.00852245056978669,"11",-1,19,"black",1.5,NA,0.2,0.5
"133",2010,0.00365247881562287,"12",-1,19,"black",1.5,NA,0.2,0.5
"134",2010,0.0365247881562287,"13",-1,19,"black",1.5,NA,0.2,0.5
"135",2010,0.217931235998831,"14",-1,19,"black",1.5,NA,0.2,0.5
"136",2010,0.0365247881562287,"15",-1,19,"black",1.5,NA,0.2,0.5
"137",2010,0.154621603194701,"16",-1,19,"black",1.5,NA,0.2,0.5
"138",2010,0.0133924223239505,"17",-1,19,"black",1.5,NA,0.2,0.5
"139",2010,0.0426122528489335,"18",-1,19,"black",1.5,NA,0.2,0.5
"140",2013,0.203432930705658,"1",-1,19,"black",1.5,NA,0.2,0.5
"141",2013,0.00462347569785586,"2",-1,19,"black",1.5,NA,0.2,0.5
"142",2013,0.0184939027914235,"3",-1,19,"black",1.5,NA,0.2,0.5
"143",2013,0.136392533086748,"4",-1,19,"black",1.5,NA,0.2,0.5
"144",2013,0.164133387273883,"5",-1,19,"black",1.5,NA,0.2,0.5
"145",2013,0.144483615557996,"6",-1,19,"black",1.5,NA,0.2,0.5
"146",2013,0.0231173784892793,"7",-1,19,"black",1.5,NA,0.2,0.5
"147",2013,0.0589493151476623,"8",-1,19,"black",1.5,NA,0.2,0.5
"148",2013,0.210368144252442,"9",-1,19,"black",1.5,NA,0.2,0.5
"149",2013,0.00231173784892793,"10",-1,19,"black",1.5,NA,0.2,0.5
"150",2013,0.0034676067733919,"11",-1,19,"black",1.5,NA,0.2,0.5
"151",2013,0.00231173784892793,"12",-1,19,"black",1.5,NA,0.2,0.5
"152",2013,0.0173380338669595,"13",-1,19,"black",1.5,NA,0.2,0.5
"153",2013,0.227706178119401,"14",-1,19,"black",1.5,NA,0.2,0.5
"154",2013,0.0300525920360631,"15",-1,19,"black",1.5,NA,0.2,0.5
"155",2013,0.147951222331388,"16",-1,19,"black",1.5,NA,0.2,0.5
"156",2013,0.0231173784892793,"17",-1,19,"black",1.5,NA,0.2,0.5
"157",2013,0.068196266543374,"18",-1,19,"black",1.5,NA,0.2,0.5
"158",2016,0.310921103769918,"1",-1,19,"black",1.5,NA,0.2,0.5
"159",2016,0.0100297130248361,"2",-1,19,"black",1.5,NA,0.2,0.5
