"","fill","y","ymin","ymax","x","PANEL","group","flipped_aes","xmin","xmax","colour","size","linetype","alpha"
"54","#999999",3.1055900621118,0,3.1055900621118,1,"19",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"55","#E69F00",88.9751552795031,0,88.9751552795031,2,"19",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"56","#56B4E9",7.91925465838509,0,7.91925465838509,3,"19",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"57","#999999",52.5,0,52.5,1,"20",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"58","#E69F00",44.5833333333333,0,44.5833333333333,2,"20",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"59","#56B4E9",2.91666666666667,0,2.91666666666667,3,"20",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"60","#999999",2.28571428571429,0,2.28571428571429,1,"21",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"61","#E69F00",88,0,88,2,"21",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"62","#56B4E9",9.71428571428571,0,9.71428571428571,3,"21",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"63","#999999",7.56880733944954,0,7.56880733944954,1,"22",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"64","#E69F00",79.1284403669725,0,79.1284403669725,2,"22",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"65","#56B4E9",13.302752293578,0,13.302752293578,3,"22",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"66","#999999",9.375,0,9.375,1,"23",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"67","#E69F00",81.25,0,81.25,2,"23",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"68","#56B4E9",9.375,0,9.375,3,"23",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"69","#999999",18.3006535947712,0,18.3006535947712,1,"24",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"70","#E69F00",47.0588235294118,0,47.0588235294118,2,"24",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"71","#56B4E9",34.640522875817,0,34.640522875817,3,"24",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"72","#999999",12.9032258064516,0,12.9032258064516,1,"25",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"73","#E69F00",78.2258064516129,0,78.2258064516129,2,"25",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"74","#56B4E9",8.87096774193548,0,8.87096774193548,3,"25",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
