"","phrase","group","K","N","prop","lower","upper","median"
"154","""close to being significant""","<0.05",2,36,0.0555555555555556,0.00968130458439373,0.200143968492598,NA
"155","""close to being significant""",">=0.05-0.15",31,36,0.861111111111111,0.697120487024984,0.947715026838097,"0.06 (0.056–0.07)"
"156","""close to being significant""",">=0.15",3,36,0.0833333333333333,0.021772072797079,0.235911636953467,NA
"157","""close to the level of significance""","<0.05",1,9,0.111111111111111,0.00582755740060351,0.493297984193994,NA
"158","""close to the level of significance""",">=0.05-0.15",8,9,0.888888888888889,0.506702015806006,0.994172442599396,"0.053 (0.05–0.07)"
"159","""close to the limit of significance""",">=0.05-0.15",4,4,1,0.395773034482779,1,"0.057 (0.053–0.066)"
"160","""close to the margin of statistical significance""","<0.05",1,1,1,0.054620755528852,1,NA
"161","""closely not significant""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.06 (0.06–0.06)"
"162","""closely significant""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.052 (0.052–0.052)"
"163","""did not quite achieve significance""",">=0.05-0.15",3,3,1,0.309988106441957,1,"0.06 (0.055–0.071)"
"164","""did not quite reach conventional levels of statistical significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.076 (0.076–0.076)"
"165","""did not quite reach statistical significance""","<0.05",5,224,0.0223214285714286,0.00824638988921316,0.0542046910019991,NA
"166","""did not quite reach statistical significance""",">=0.05-0.15",209,224,0.933035714285714,0.889795556032427,0.960710338170317,"0.064 (0.058–0.076)"
"167","""did not quite reach statistical significance""",">=0.15",10,224,0.0446428571428571,0.0228448194061501,0.0830041423318317,NA
"168","""difference was apparent""","<0.05",21,61,0.344262295081967,0.230395089477928,0.477809217795006,NA
"169","""difference was apparent""",">=0.05-0.15",12,61,0.19672131147541,0.110004291355235,0.322189694736038,"0.059 (0.01–0.47)"
"170","""difference was apparent""",">=0.15",28,61,0.459016393442623,0.332588091238345,0.590609453894619,NA
"171","""effectively significant""","<0.05",1,1,1,0.054620755528852,1,NA
"172","""equivocal significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.06 (0.06–0.06)"
"173","""essentially significant""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.052 (0.052–0.052)"
"174","""failed to reach statistical significance""","<0.05",34,1027,0.0331061343719572,0.0233780411235248,0.0464666307256889,NA
"175","""failed to reach statistical significance""",">=0.05-0.15",613,1027,0.596884128529698,0.566085878763387,0.6269486000238,"0.08 (0.06–0.131)"
"176","""failed to reach statistical significance""",">=0.15",380,1027,0.370009737098345,0.340540026625428,0.400464213960928,NA
"177","""fairly significant""","<0.05",1,1,1,0.054620755528852,1,NA
"178","""fell just short of significance""","<0.05",1,49,0.0204081632653061,0.00106623101524159,0.122370150149563,NA
"179","""fell just short of significance""",">=0.05-0.15",48,49,0.979591836734694,0.877629849850437,0.998933768984758,"0.06 (0.059–0.063)"
