"","ymin","ymax","label","fontface","PANEL","group","colour","fill","size","angle","hjust","vjust","alpha","family","lineheight","x","y"
"39",9.4295797020235,16.7066551181451,NA,2,"14",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"40",68.8408719735499,78.3233764899811,"0.061 (0.052–0.08)",2,"14",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"41",10.1844422405126,17.6554669207257,NA,2,"14",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"42",7.54884163344163,10.2581557173897,NA,2,"15",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"43",72.4720978318132,76.5949150347912,"0.07 (0.056–0.088)",2,"15",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"44",14.9074949580977,18.4411264929967,NA,2,"15",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"45",5.32293651868505,16.635189548589,NA,2,"16",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"46",67.1356869159776,82.845049272989,"0.06 (0.051–0.08)",2,"16",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"47",9.06057803756137,22.2387281675875,NA,2,"16",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"48",1.91973567107303,10.3566376382348,NA,2,"17",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"49",83.8611403186843,94.8458925048049,"0.06 (0.056–0.07)",2,"17",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"50",1.91973567107303,10.3566376382348,NA,2,"17",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"51",2.80057537968638,9.01057818812772,NA,2,"18",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
"52",78.2622703814637,88.119949685668,"0.06 (0.056–0.078)",2,"18",-1,"gray60",NA,1.5,0,0.5,0.5,NA,"",1.2,1.6,106
